,name,times
0,,1
1,陈淑英,1
2,卓书鸿,1
3,罗秀印,1
4,朱小敏,1
5,冯英,1
6,王兆敏,1
7,秦阳丽,1
8,陈云鹏,1
9,朱绍范,1
10,房美菊,1
11,刘海涛,1
12,段文祥,1
13,张飞,1
14,左进,1
15,周玉花,1
16,李学识,2
17,刘秀英,1
18,李娜,2
19,厦门建发仓储有限公司,1
20,张法伟,1
21,李跃,1
22,孙丽琼,1
23,藏强,1
24,张莉娟,1
25,袁迪,1
26,周友新,1
27,龚群,1
28,江苏通湖速运有限公司,1
29,陈春柱,1
30,高丽俊,1
31,王播,1
32,沈阳快行天下物流供应链管理有限公司,1
33,王龙丰,1
34,胡英,1
35,张银龙,1
36,郑永达,1
37,李强,1
38,谢红英,1
39,王辉,1
40,高志慧,1
41,唐琬滢,1
42,宁波远吉鼎泰投资管理合伙企业（有限合伙）,1
43,商玉敏,1
44,丁正平,1
45,李星杰,1
46,吴建超,3
47,"
                                        河北信产新材创业投资有限公司",1
48,李永红,1
49,王丹丹,1
50,云南九曳供应链管理有限公司,1
51,李宗涛,1
52,张会祥,1
53,范本龙,1
54,XIN RONG HUANG,1
55,王宝君,1
56,孔祥艳,1
57,闵学东,1
58,高伟霞,1
59,李春萍,1
60,沈宝山,1
61,王贵宝,1
62,姬绪霞,1
63,吴亚杰,1
64,张喜贤,1
65,郑军,2
66,佟秀俊,1
67,刘志东,2
68,王月兵,1
69,曹莉娟,2
70,安冉,1
71,严朗,1
72,宋宇,1
73,卢翠荣,2
74,张康,1
75,柯仟,1
76,董卉,1
77,张尚华,2
78,章鹤峰,1
79,刘颜,1
80,林桂真,1
81,胡海净,1
82,贾现卫,1
83,王洪庆,1
84,曾秀利,2
85,司志夺,1
86,高建,1
87,王会峰,1
88,薛贤乐,3
89,胡红洁,1
90,刘佳睿,1
91,兰利珍,1
92,赵玉双,1
93,刘艳娥,1
94,胡晓东,1
95,李美轩,1
96,王小虎,1
97,李敬,1
98,李庭锐,1
99,职商网络信息技术（武汉）有限公司,1
100,张伍,1
101,于娜,1
102,于跃,2
103,孙荣华,1
104,郭希芹,1
105,"王月兵,毕建华",1
106,朱灿刚,1
107,樊红雨,1
108,许少波,1
109,王旭,1
110,简燕妮,1
111,裴相林,2
112,蒋素丽,1
113,杨利才,1
114,朱宝义,1
115,秦兴龙,1
116,于卫东,1
117,杨春雪,1
118,裴子同,1
119,万芬,1
120,周梅金,1
121,妙飞江苏食品科技有限公司,1
122,杨贵敏,1
123,许锦洪,1
124,杨超,1
125,新疆九曳供应链管理有限公司,1
126,陈正,1
127,张彩虹,1
128,李艳玲,1
129,田益根,1
130,青岛福记农场食品有限公司,2
131,宋政哲,1
132,强世贵,1
133,"
                                        财信德投资集团（深圳）有限公司",1
134,陈林林,1
135,"
                            保定市新雨峰商贸有限公司",1
136,曹亚伟,1
137,李大敏,1
138,刘中侠,1
139,楚占武,1
140,胡宝廷,1
141,冯文平,1
142,陈运,1
143,李玲,1
144,刘永珍,1
145,胡斌,2
146,王利民,1
147,吕利,2
148,陈国祥,1
149,谢文涛,1
150,付星,1
151,庞万斌,1
152,陈南光,1
153,王菊文,1
154,董波,1
155,李树强,1
156,岳云飞,1
157,孟祥国,1
158,白玉强,1
159,钱红梅,1
160,杜鹏飞,1
161,宿迁经济技术开发区人力资源有限公司,1
162,宿迁市开财会计服务有限公司,1
163,梅新彪,1
164,王银安,1
165,峰尚达资本投资管理（深圳）有限公司,1
166,李颖,1
167,廖力红,1
168,蒋俊华,1
169,沙洪亮,1
170,曲志强,1
171,孟凡君,1
172,罗丽梅,1
173,解晓宇,1
174,熊蕾,1
175,孙长青,1
176,侯振宇,1
177,曾旺秋,1
178,李芝媛,1
179,沈加隆,1
180,宫江涛,2
181,赵文正,1
182,吉龙龙,1
183,阳咏翔,1
184,刘红欣,1
185,李帆,1
186,叶汉钦,1
187,张冬生,1
188,宋发瑞,1
189,赖桂英,1
190,赵倩,1
191,庄永武,1
192,田金梅,1
193,杨爽利,2
194,张宇,1
195,田洁,1
196,陈清光,1
197,王富坤,1
198,蒋慧君,1
199,邵桂红,1
200,李爱梅,1
201,王立辉,1
202,崔勇,1
203,秦国贞,2
204,韩世梅,1
205,刘金龙,1
206,王戈,1
207,刘冬梅,2
208,葛红华,1
209,王晓芳,1
210,武会亲,1
211,赵智芳,1
212,罗序红,1
213,侯晓丽,1
214,王鹏,1
215,丁先全,1
216,厦门建发报关行有限责任公司,1
217,严东,1
218,陆安江,1
219,陆冠红,1
220,臧强,1
221,财信德投资集团（深圳）有限公司,1
222,龙锦亿,1
223,李文安,1
224,彭焕春,1
225,刘萍,1
226,吴国庆,1
227,西安鲜益优供应链管理有限公司,1
228,邱嘉亮,1
229,黄玉树,1
230,宿迁市开明拆迁实施有限公司,1
231,生命泉有限公司,1
232,李威,1
233,高桂荣,1
234,郭红军,1
235,隋晓君,2
236,李宝国,1
237,马永峰,1
238,吕志臣,1
239,柯金城,1
240,武汉溢欣融食品科技有限公司,1
241,秦真东,1
242,罗树新,1
243,王强,1
244,徐鑫,1
245,肖若琪,2
246,麦浪,1
247,汪美平,1
248,王方,1
249,陈晓柱,1
250,恽永利,1
251,马力,1
252,刘海坛,1
253,罗晓星,1
254,巨擘国际股份有限公司,1
255,杜梦丽,1
256,侯琳璋,1
257,北京网聘咨询有限公司,1
258,祖春苗,1
259,马晓红,1
260,康健,1
261,重庆德同领航创业投资中心（有限合伙）,1
262,李新,1
263,谢秋强,1
264,刘钢田,1
265,张海,1
266,荆嘉伟,1
267,刘广秀,1
268,张寰,1
269,李星,1
270,南京特恋服饰有限公司,1
271,胡健健,1
272,蒋雪莹,1
273,付宇,1
274,李文杰,2
275,徐璐沁,1
276,许小军,1
277,陈清华,1
278,郄建强,1
279,黄本福,1
280,邱兰,1
281,杨琴,1
282,候文军,1
283,唐海英,1
284,松本光市（MATSUMOTO KOICHI）,1
285,闫绍军,1
286,王智勇,1
287,赵维林,1
288,张其丽,1
289,赵雪,1
290,沈建红,1
291,梁丁丁,1
292,李盛旺,1
293,欣融食品控股有限公司,1
294,张洪涛,1
295,陈中,1
296,张义泽,1
297,王益兰,1
298,罗桂江,2
299,王玉萍,1
300,于立红,1
301,苗峰,1
302,李亚洲,1
303,蔡宇,1
304,潘明,1
305,杨俊,1
306,张媛媛,1
307,张永强,1
308,高玉华,1
309,上海郑明投资（集团）有限公司,1
310,张郑,1
311,袁正刚,1
312,刘洋,1
313,李宝彦,1
314,严浓,1
315,王卓,1
316,北京乐挚财信商贸有限公司,1
317,刘忠,1
318,齐连蕊,1
319,李会彪,1
320,吴广旭,1
321,刘建梅,1
322,曹淑兰,1
323,李义德,1
324,刘记伍,1
325,程彪,1
326,杭州九曳投资管理有限公司,1
327,马永杰,1
328,丁建祥,1
329,王艳维,1
330,张渊,1
331,张兆明,1
332,金锐全,1
333,江春花,1
334,闵浩,1
335,陈华军,1
336,梁秀英,1
337,黄芝玉,1
338,福建苏美达机电设备有限公司,1
339,孙香梅,1
340,黄振,1
341,天津苏美达国际贸易有限公司,1
342,蔡连青,2
343,王志中,1
344,罗俊峰,1
345,鹿菊荣,2
346,唐友仕,1
347,河北宝臻食品贸易有限公司,1
348,时洁,1
349,胡霄云,1
350,肖艳超,1
351,宁继周,1
352,钱岗,1
353,李雅斌,1
354,李彩荣,1
355,邢鸿明,1
356,杨春香,2
357,麦涛,1
358,张俊英,1
359,付海龙,1
360,广州快行天下供应链管理有限公司,1
361,李莉,1
362,王东,1
363,吴世凤,1
364,朱朋飞,1
365,台金轮,1
366,邵显安,1
367,许富宣,1
368,张兵,1
369,王巧梅,1
370,刘德华,4
371,王少英,1
372,蒋益强,1
373,王晓肖,1
374,潘旭光,1
375,刘奕,1
376,蔡琦,1
377,台金坤,1
378,吴霖,2
379,徐建兵,1
380,张宁宁,1
381,林益娜,1
382,梁澎,1
383,刘均花,1
384,王燕,1
385,李光洁,1
386,程曼丽,1
387,邵显荣,1
388,翟勇,1
389,李国柱,2
390,赵施梅,1
391,董浩,1
392,袁莹健,2
393,王金荣,1
394,宋彪,1
395,凌国棠,1
396,刘学双,1
397,孙守辉,1
398,"
                                        北京市恒慧投资集团有限公司",1
399,广东苏美达国际贸易有限公司,1
400,郑志远,1
401,李春梅,1
402,李玉姣,1
403,丁琳,1
404,邵思远,1
405,西安鸿欣融食品科技有限公司,1
406,崔建兰,1
407,毛卓荣,1
408,尚玉连,1
409,林益光,1
410,刘柏勋,1
411,张进蕊,1
412,张绪梅,1
413,路露,1
414,张正婷,1
415,马雪蓉,1
416,周莉莉,1
417,朱远华,1
418,王玉兰,1
419,张兆银,1
420,胡艳辉,1
421,袁全友,2
422,蒋雷,1
423,河南省恒慧通肉类食品有限公司,1
424,韩雪,1
425,杨英华,2
426,刘娜,1
427,肥城康王酒业有限公司,1
428,重庆艾斯图必贸易有限公司,1
429,韩亮,1
430,薛宝琦,1
431,内蒙古苏蒙科技电力设备有限公司,1
432,陶定林,1
433,叶翔,1
434,于超,1
435,四川久耶供应链管理有限公司,1
436,孟勤,1
437,肖志环,1
438,卜小妹,1
439,江苏永诚国际货运代理有限公司,1
440,湖南西蒙机电工程有限公司,1
441,颜洁,1
442,高鹏飞,1
443,纪桂林,1
444,杨秀娟,1
445,张年菊,1
446,张小莺,1
447,许峥强,1
448,陈捷,1
449,柴长伟,1
450,许吉鑫,1
451,李羚奎,1
452,张俊学,1
453,陈一鸣,1
454,严立芬,1
455,梁宏刚,1
456,秦皇岛禾优餐饮服务有限公司,1
457,黄荣婷,1
458,杨昭鹏,1
459,孟康文,2
460,付鑫,2
461,闵旗,1
462,张敬国,1
463,乔长法,1
464,马亚平,1
465,卢苗慧,1
466,周道刚,1
467,胡云,1
468,包兆虎,1
469,王春峰,2
470,厦门建发股份有限公司,1
471,刘玲玲,1
472,刘利民,1
473,向伟,1
474,顾芸嘉,1
475,梁巍,2
476,惠敏,2
477,刘军,1
478,澳鲜顺供应链管理（苏州）有限公司,1
479,胡立娟,1
480,曹宣冬,1
481,周衍龙,1
482,郝峰,1
483,马宇,1
484,张军芳,1
485,胡志强,1
486,陈明洋,1
487,武海霞,1
488,郁立蓬,1
489,王亮,1
490,王坚,1
491,林嘉腾,1
492,张正友,1
493,寿小曼,1
494,朱留巨,1
495,张七秀,1
496,周建辉,1
497,厦门裕欣融食品科技有限公司,1
498,李闯,1
499,梁庆胜,1
500,李俊,2
501,姜建建,1
502,李文洁,1
503,王康宁,1
504,北京申欣融食品配料有限公司,1
505,孙润芳,1
506,张逸,1
507,尚斌,2
508,郑淑兰,1
509,陕西九曳网络科技有限公司,1
510,李定高,1
511,刘芳芳,1
512,陶娇娇,1
513,黄明玉,1
514,崔苏静,1
515,名远智能装备（珠海）有限公司,1
516,成都苏美达国际贸易有限公司,1
517,福建澳新阳光乳业有限公司,1
518,胡园园,1
519,杨慧娟,2
520,董静,1
521,宋延胜,1
522,周德伟,1
523,倪磊,1
524,岳雨辰,1
525,岳元洋,1
526,青岛瑞欣融食品科技有限公司,1
527,张晴,1
528,田建伍,1
529,湖北九曳供应链管理有限公司,1
530,曹爱国,1
531,尹胜强,1
532,李海军,1
533,孙培荣,1
534,无锡乐锡众仓储有限公司,1
535,青岛恒宜祥物流有限公司,2
536,刘沿东,3
537,陈素兰,1
538,郭建刚,1
539,杨贞耐,1
540,贾培旭,2
541,秦立翠,1
542,吴合林,1
543,王文香,1
544,张凤柏,1
545,杨开印,1
546,张超,1
547,颜永红,1
548,崔伟伟,1
549,陈伟,1
550,孙艳忠,1
551,苗伟,2
552,武汉快行天下供应链管理有限公司,1
553,王华,1
554,孟秋香,1
555,孙玉军,1
556,许加纳,1
557,徐庆利,1
558,远安晟琦流体设备科技（北京）有限公司,1
559,李树琴,1
560,姜燕,1
561,刘奕宏,1
562,石家庄全瀚软件科技有限公司,1
563,高晓丽,1
564,王振刚,1
565,林丽娜,1
566,任华,1
567,赵平,1
568,朱泽亮,1
569,喻宏梁,1
570,袁华伦,1
571,李静萍,1
572,刘辉,1
573,耿民,1
574,刘小军,2
575,樊兴,1
576,杨永军,1
577,卢积兴,1
578,梁振峰,1
579,丁元恒,1
580,祝卫芳,1
581,陈朱涛,1
582,刘蕴茜,1
583,张伟,2
584,张杰果,1
585,刘明顺,1
586,蔺华伟,1
587,童晓玲,1
588,寿峰,1
589,霍光马,1
590,李志仁,1
591,张海强,1
592,陈朝英,1
593,董小翠,2
594,刘永霞,1
595,黄维清,1
596,李书洪,1
597,宋星星,1
598,杨利防,1
599,张广德,1
600,姜希阳,1
601,向可秀,1
602,周振波,1
603,李英龙,1
604,Euro Fresh Limited,1
605,杜其合,1
606,陈容,1
607,胡铖,1
608,高峰,1
609,周美菊,1
610,胡志敏,1
611,冯文燕,2
612,彭小军,1
613,韩风伟,1
614,刘爽,1
615,周小立,1
616,杨光锐,1
617,王海,1
618,青岛福兴祥商品配送有限公司,2
619,杜晓宇,1
620,杜潮仲,1
621,杨晓燕,2
622,杜福全,1
623,田俊,1
624,姬红津,1
625,宿迁经济技术开发区管理委员会,1
626,赵小丽,1
627,赵天浩,1
628,闫宪业,1
629,孟凡霞,1
630,谢玉,1
631,杨建设,1
632,唐琴,1
633,王昊,1
634,王瑞,1
635,焦宝男,1
636,沈庆丰,1
637,李彩春,1
638,宋明远,1
639,胡晓明,1
640,孟召得,1
641,宋克甲,1
642,李亚娜,1
643,李国平,1
644,成都盛欣融食品有限公司,1
645,祝玉薇,1
646,王志国,1
647,付小兵,1
648,章林云,1
649,朱元兆,1
650,张维明,1
651,刘祎,1
652,李金玲,1
653,张秀国,1
654,陈建飞,1
655,徐文伟,1
656,宋玉春,1
657,金桂玲,1
658,刘刚,1
659,叶晶,1
660,王国清,1
661,朱以伦,1
662,高红波,1
663,厦门建发象屿保税区贸易有限公司,1
664,赵和玲,1
665,刘伟,1
666,徐丽,1
667,臧公甫,1
668,张长胜,1
669,林鹏,1
670,青岛臻丰粮油贸易有限公司,2
671,李燕群,1
672,卢晓宁,1
673,李利平,1
674,曹罗艳,1
675,尚卫华,2
676,谭丹,1
677,李屹,1
678,卢菊荣,1
679,王文,3
680,黄海晓,1
681,任建忠,1
682,常成义,1
683,李多武,1
684,黄志龙,1
685,喻兵,1
686,刘立祥,1
687,赵翼,1
688,徐瑞泽,2
689,陈齐育,1
690,杨纪智,1
691,武建才,1
692,胶州市品尚家居用品有限公司,2
693,杜庆建,2
694,王明伟,1
695,任在明,1
696,李必坚,1
697,陈敏,1
698,董玉花,1
699,于同凤,1
700,蒋红红,2
701,闫俊,1
702,项少聪,1
703,翁秀珠,1
704,胡晓艳,1
705,张冰,1
706,赵奎奎,1
707,吴伟燕,1
708,孙天智,1
709,吴金莲,1
710,董善友,1
711,杨柳,2
712,邢小雷,1
713,黄昌群,1
714,于海潇,1
715,崔莉莉,1
716,孙传钰,1
717,济南快行天下供应链管理有限公司,1
718,王英,1
719,周善辰,1
720,申鑫,1
721,张乐,1
722,何建辉,1
723,刘文涛,1
724,滕霁旻,1
725,范钦,2
726,陈珂,1
727,伍启华,1
728,孙臻浩,1
729,金萍,1
730,宿迁市开诚实业有限公司,1
731,朱路生,1
732,容城县方北商贸有限公司,1
733,周静,1
734,郭子谊,1
735,山东美鲜冷链物流有限公司,1
736,郎景戌,1
737,向海山,1
738,侯胜国,1
739,陈宏,2
740,郑州悦欣融食品科技有限公司,1
741,季锋,1
742,江桂芝,1
743,张有国,1
744,袁艳芳,1
745,邵铭,1
746,庄伟元(CHONG WAI YUEN),1
747,高逢勇,1
748,李紫昂,1
749,王丽芹,1
750,马泽萍,1
751,陈博才,1
752,苏文文,2
753,王雅萍,1
754,黄倩,1
755,河北信产新材创业投资有限公司,1
756,郭德宏,1
757,刘宇航,3
758,朱虹,1
759,池华胜,1
760,钟怀耀,1
761,石家庄瀚全软件科技有限公司,1
762,尚定翠,1
763,董小杰,1
764,李静,1
765,王秀英,1
766,范雯烨,1
767,"
                                        咸阳大通企业管理有限公司",1
768,肖文礼,1
769,江苏苏美达集团有限公司,1
770,闵晓进,1
771,庄育安,1
772,李兴俊,1
773,尚红仙,1
774,马锁,1
775,朱逸,1
776,刘延平,1
777,魏军,1
778,任冬冬,1
779,邹卫平,1
780,支玉平,1
781,邱柏洪,1
782,李亚峰,2
783,秦宪法,1
784,王文颖,1
785,孙风云,1
786,杨杰,1
787,徐庆磊,1
788,庄健,1
789,谭双,1
790,毕建华,1
791,孙运选,1
792,保定保隶和商贸有限公司,1
793,厦门建发国际货运代理有限公司,1
794,王彬,1
795,时颖,1
796,宋晶晶,1
797,王雪能,1
798,王志洁,1
799,高淑华,1
800,游元文,1
801,赵恒,1
802,崔天博,2
803,叶晗,1
804,宿迁开天投资发展有限公司,1
805,魏文江,1
806,庞志刚,1
807,邓文倩,1
808,吴县城,1
809,王婧言,1
810,建发物流（天津）有限公司,1
811,韩井军,1
812,杨宁,1
813,于长江,1
814,郎永威,1
815,闵学梅,1
816,卫燕卿,1
817,李臣耿,1
818,张燕,1
819,王国琴,1
820,武荣,1
821,冯永水,1
822,张亮,1
823,修丽娜,2
824,从振涛,1
825,曹芹,1
826,钟美甜,1
827,赵建宁,1
828,马洪波,1
829,候军红,1
830,孙运涛,1
831,刘家栋,1
832,谢雪梅,1
833,卢瑞,1
834,王金站,1
835,李毅,1
836,周胜,1
837,鲍郁,1
838,郑凤玉,1
839,温莉莉,1
840,青岛博晟贸易发展有限公司,2
841,青岛鼎誉酒业有限公司,2
842,尹燕红,1
843,杨星月,1
844,江苏苏美达供应链运营有限公司,1
845,光明乳业股份有限公司,1
846,李国强,1
847,胡卫锋,1
848,姜琼,1
849,薛菲,1
850,隗显红,1
851,张勇,3
852,河北思琪诺食品有限公司,1
853,武正港,1
854,姚楠,1
855,贺园园,1
856,李诚煌,1
857,宿迁市开信建设投资有限公司,1
858,姚明华,1
859,李建宏,1
860,上海恒茜物联网科技有限公司,1
861,米海燕,1
862,韩秀峰,1
863,黄汉权,1
864,王玉梅,1
865,朱纳新,1
866,丁高丽,1
867,宿迁保税物流发展有限公司,1
868,张东阳,1
869,樊庆朝,1
870,胡尚峰,1
871,张焱,2
872,刘俊伟,1
873,周琳琰,1
874,贺玲,1
875,李凤莲,1
876,王万祥,2
877,王秀存,1
878,赵重阳,1
879,陈斌,1
880,宁伟,1
881,郑雪云,1
882,石学贞,1
883,高军,1
884,王乾峰,1
885,刘规划,1
886,上海术赞信息科技合伙企业（有限合伙）,1
887,广州粤亨食品有限公司,1
888,候琳璋,1
889,刘闯,1
890,刘广义,1
891,郑碧莹,1
892,建发物流（上海）有限公司,1
893,王田军,1
894,石家庄华尊机械科技有限公司,1
895,刘明明,1
896,朱文亭,2
897,窦丽群,1
898,王宏,1
899,周勇,1
900,于长远,1
901,王巧书,1
902,宿迁经济开发区宏发园林绿化工程有限公司,1
903,李永强,1
904,刘淮北,1
905,吕言山,1
906,孙珊珊,1
907,建发物流（广州）有限公司,1
908,魏祥贵,1
909,杨亚军,1
910,于杰,1
911,韩兴芳,1
912,杨苗苗,1
913,冯丽君,1
914,杨勇,1
915,王伟国,1
916,刘进军,1
917,于桂月,1
918,北京苏美达北方国际贸易有限公司,1
919,张申厚,1
920,上海九曳电子商务有限公司,1
921,吴锦秀,1
922,黄海波,1
923,陈炼,1
924,符琴飞,1
925,李姣娇,1
926,黄文,1
927,朱宝利,1
928,李青青,1
929,张建德,1
930,邵原原,1
931,王丽,1
932,海南苏美达供应链有限公司,1
933,李东,1
934,陈菲菲,1
935,张春静,1
936,厦门建发保税储运有限责任公司,1
937,曾忠,1
938,郑志杰,1
939,郭庆民,1
940,崔文林,1
941,陈永钰,1
942,刘梅,1
943,朱小雪,1
944,"
                            财信德投资集团（深圳）有限公司",1
945,郑银岭,1
946,姚优锋,1
947,青岛瑞尚贸易发展有限公司,2
948,薛华娟,2
949,郭建文,1
950,罗艳琴,1
951,白玉峰,1
952,王磊,1
953,蒋学锋,1
954,刘彦辉,1
955,李军,1
956,胡金磊,1
957,李晓军,1
958,王宏伟,1
959,浙江蚂蚁小微金融服务集团股份有限公司,1
960,卢胜平,1
961,广州建发国际货运代理有限公司,1
962,奥飞娱乐股份有限公司,1
963,徐红凭,1
964,徐伟民,1
965,钱蒙蒙,1
966,邹锋,1
967,马玲,1
968,刘文俊,1
969,宿迁国开实业有限公司,1
970,杨齐良,1
971,苏州玖升玖建设工程有限公司,1
972,尚秋君,1
973,于晓红,1
974,魏巍,1
975,万康康,1
976,王伟,1
977,谯跃静,1
978,周晓亮,1
979,蒋文彪,1
980,徐旭,2
981,何广霞,1
982,张武,1
983,朱芬芬,1
984,林剑辉,1
985,彭孝霞,1
986,杨少龙,1
987,张坤,1
988,厦门建发食品供应链有限公司,1
989,杨洪振,1
990,黄萍,1
991,宋敏杰,1
992,李金山,2
993,骆志刚,1
994,EXQUISITE CLEVER LIMITED,1
995,冯英花,1
996,陈冬英,1
997,仇庆春,1
998,北京九曳供应链管理有限公司,1
999,上海苏美达商务咨询有限公司,1
1000,颜福佑,1
1001,李渭锋,1
1002,唐聪,1
1003,张国强,1
1004,郭盛,1
1005,孙宇海,1
1006,霍仕文,1
1007,黄荣华,1
1008,李丹丹,1
1009,陈洋,1
1010,孙宇期,1
1011,魏永立,1
1012,韩玲云,1
1013,李剑,1
1014,史磊,1
1015,陈明,1
1016,杨秋香,3
1017,栗栗,1
1018,李春辉,1
1019,张雪梅,2
1020,叶可成,1
1021,殷超,1
1022,王书芳,1
1023,王振顺,1
1024,王洋,3
1025,李明碧,1
1026,宁重阳,1
1027,曾坚,1
1028,郭飞虎,1
1029,吴智,1
1030,康向民,1
1031,白秀东,1
1032,郑丹宁,1
1033,周鸭兰,1
1034,黄鹤,1
1035,赵武明,1
1036,李星慧,1
1037,郝文艺,1
1038,于立新,1
1039,魏秀英,1
1040,张娜,1
1041,相国利,1
1042,孙立伟,1
1043,石家庄高新区汇宝利鑫小额贷款有限公司,1
1044,张年高,1
1045,隋亚军,1
1046,广州捷洋食品科技有限公司,1
1047,陈谋君,1
1048,庄新英,1
1049,郝巧娥,1
1050,王宗英,2
1051,青岛品尚家居用品有限公司,2
1052,马贺平,1
1053,欧阳艳琴,2
1054,闫丽,1
1055,丁桂霞,1
1056,张锟,1
1057,马丽丽,1
1058,朱学富,1
1059,钟立霞,1
1060,汤怡,1
1061,王丽妹,1
1062,刘博,1
1063,成进,1
1064,王文孝,1
1065,王纲,1
1066,唐天铭,1
1067,戴琼,1
1068,李仁飞,1
1069,李继光,1
1070,史硕青,1
1071,司志成,1
1072,柴兴炼,1
1073,徐刚,1
1074,杨建华,2
1075,齐永亮,1
1076,牛雨峰,1
1077,许国旺,1
1078,江俊东,1
1079,李明辉,1
1080,杨云龙,1
1081,徐小刚,1
1082,石少雄,1
1083,杨环,1
1084,薛嵩,1
1085,尚国强,1
1086,吕通成,1
1087,李红卫,1
1088,赵胜明,1
1089,何远齐,1
1090,王利娜,1
1091,关羽,1
1092,陈拓,1
1093,贾传国,1
1094,李健,1
1095,VITTAYAAREEKUL NOPPADON,1
1096,康学才,1
1097,张丽敏,1
1098,刘召建,1
1099,王淑文,1
1100,陈志钢,1
1101,李铁兰,1
1102,马建军,1
1103,孔令彬,1
1104,容城县千百鸿商贸有限公司,1
1105,张治虎,1
1106,李仁午,1
1107,陈飞,1
1108,吴志鸿,1
1109,柯金国,1
1110,董小兵,1
1111,青岛宇恒电器有限公司,2
1112,史家欣,1
1113,赵守龙,1
1114,黄婷婷,1
1115,张永胜,1
1116,王云飞,1
1117,吴文月,1
1118,杨尚德,1
1119,严绕军,1
1120,王明莲,2
1121,杨继洲,1
1122,田孟贵,1
1123,杨占发,1
1124,李异松,1
1125,解会芬,1
1126,彭利喜,1
1127,李长顺,1
1128,张艳梅,1
1129,杨思文,1
1130,石学龙,1
1131,胡俊强,1
1132,陈贵阳,1
1133,北京天玛投资管理中心（有限合伙）,1
1134,郎伟成,1
1135,张瑞,1
1136,陈官德,1
1137,周绪玲,1
1138,建发（上海）有限公司,1
1139,关晓红,1
1140,刘磊,1
1141,刘泗路,1
1142,孙宇,1
1143,张洋,1
1144,隋桂珍,2
1145,邓建,1
1146,陶馨,1
1147,王雪莉,1
1148,张娟,1
1149,刘敏,1
1150,杨顺姬,1
1151,陈观石,1
1152,李慧春,1
1153,张桂芹,1
1154,孔维乐,1
1155,石晓沛,1
1156,李艳波,1
1157,吉长生,1
1158,薛舒忆,1
1159,周海洋,1
1160,王庆,1
1161,张慧,1
1162,虞灿东,1
1163,孙忠杰,1
1164,刘霞,1
1165,孙霞,1
1166,方翠玲,1
1167,陕西九曳供应链管理有限公司,1
1168,靳杉,1
1169,朱红玲,1
1170,侯高阳,1
1171,刘桂苓,1
1172,莫尧锋,1
1173,苏中伟,1
1174,李小妹,1
1175,朱钢强,1
1176,顾黎,1
1177,朱广杰,1
1178,黄莎莎,1
1179,李硕,1
1180,翁秀芳,1
1181,朱燕,2
1182,王公立,1
1183,余梅琴,1
1184,上海乐航企业管理合伙企业（有限合伙）,1
1185,陈玉霞,1
1186,刘卫,1
1187,赵录,1
1188,丁玉书,1
1189,王宝清,1
1190,周锁,1
1191,张乐玉,1
1192,林志敏,1
1193,葛国胜,1
1194,朱占桃,1
1195,正大供应链投资有限公司,1
1196,毛军,1
1197,何桂梅,1
1198,李亮金,1
1199,上海鸿元创业投资有限公司,1
1200,陈广军,1
1201,蔡炜,1
1202,陈小莉,1
1203,熊进,1
1204,卢贺云,1
1205,范鹏,1
1206,张志强,2
1207,韩坤,1
1208,刘志红,1
1209,岳学强,1
1210,马勇,1
1211,尚坤,1
1212,黄文洲,1
1213,刘波,2
1214,陈文瑞,1
1215,高文强,1
1216,刘志松,2
1217,侯桂芝,1
1218,曹欣悦,1
1219,朱正虎,1
1220,朱亚洲,1
1221,庞晓凯,1
1222,张毅,2
1223,王玲玲,1
1224,付金海,1
1225,曹彦秋,1
1226,"
                            北京市恒慧投资集团有限公司",1
1227,徐鲜如,1
1228,刘德栋,1
1229,李德意,1
1230,张心勇,1
1231,王向兵,1
1232,胡红林,1
1233,王红霞,1
1234,东君乳业（禹城）有限公司,1
1235,韩云志,1
1236,金静宜,1
1237,李富贵,1
1238,魏茂虎,1
1239,孟娟娟,1
1240,刘雷,1
1241,孔维宗,1
1242,杜呈荣,1
1243,冯宇锋,1
1244,江苏苏美达集团有限公司工会,1
1245,张健,1
1246,鲁璐,1
1247,魏永会,1
1248,曹光艳,1
1249,李振兴,1
1250,杨天彪,1
1251,蔡祖国,1
1252,王俊艳,1
1253,王志兵,1
1254,梅丽萍,1
1255,孟献慈,1
1256,王驰,1
1257,刘姝琴,1
1258,傅伟高,1
1259,尚峰电子商务河北有限公司,1
1260,王俊松,1
1261,孙德标,1
1262,宁懿,1
1263,侯亚萍,1
1264,徐哲您,1
1265,王凤萍,1
1266,宿迁市开新实业有限公司,1
1267,刘希珍,1
1268,樊清信,1
1269,昆山快行天下冷链物流有限公司,1
1270,赵卫军,1
1271,金宝,1
1272,上海苏美达国际贸易有限公司,1
1273,金现龙,1
1274,高永青,1
1275,冯波,1
1276,吴艳丽,1
1277,利群商业集团股份有限公司,2
1278,刘艳枚,1
